k,i,j,max_proved,status,reason
2,1,0,10000000,OK,Cycle
2,1,1,10000000,OK,Cycle
2,1,2,10000000,OK,Cycle
2,1,3,10000000,OK,Cycle
2,2,0,2,FAILED,divergence_threshold
2,2,1,10000000,OK,Cycle
2,2,2,0,FAILED,divergence_threshold
2,2,3,10000000,OK,Cycle
3,1,0,10000000,OK,Cycle
3,1,1,10000000,OK,Cycle
3,1,2,10000000,OK,Cycle
3,1,3,10000000,OK,Cycle
3,1,4,10000000,OK,Cycle
3,1,5,10000000,OK,Cycle
3,2,0,10000000,OK,Cycle
3,2,1,10000000,OK,Cycle
3,2,2,10000000,OK,Cycle
3,2,3,10000000,OK,Cycle
3,2,4,10000000,OK,Cycle
3,2,5,10000000,OK,Cycle
3,2,0,
3,2,1,
3,2,2,10000000,OK,Cycle
3,2,3,
3,2,4,
3,2,5,10000000,OK,Cycle
5,1,0,10000000,OK,Cycle
5,1,1,10000000,OK,Cycle
5,1,2,10000000,OK,Cycle
5,1,3,10000000,OK,Cycle
5,1,4,10000000,OK,Cycle
5,1,5,10000000,OK,Cycle
5,1,6,10000000,OK,Cycle
5,1,7,10000000,OK,Cycle
5,1,8,10000000,OK,Cycle
5,1,9,10000000,OK,Cycle
5,2,0,10000000,OK,Cycle
5,2,1,10000000,OK,Cycle
5,2,2,10000000,OK,Cycle
5,2,3,10000000,OK,Cycle
5,2,4,10000000,OK,Cycle
5,2,5,10000000,OK,Cycle
5,2,6,10000000,OK,Cycle
5,2,7,10000000,OK,Cycle
5,2,8,10000000,OK,Cycle
5,2,9,10000000,OK,Cycle
5,3,0,141,FAILED,divergence_threshold
5,3,1,8,FAILED,divergence_threshold
5,3,2,25,FAILED,divergence_threshold
5,3,3,53,FAILED,divergence_threshold
5,3,4,37,FAILED,divergence_threshold
5,3,5,1,FAILED,divergence_threshold
5,3,6,0,FAILED,divergence_threshold
5,3,7,73,FAILED,divergence_threshold
5,3,8,1,FAILED,divergence_threshold
5,3,9,86,FAILED,divergence_threshold
7,1,0,10000000,OK,Cycle
7,1,1,10000000,OK,Cycle
7,1,2,10000000,OK,Cycle
7,1,3,10000000,OK,Cycle
7,1,4,10000000,OK,Cycle
7,1,5,10000000,OK,Cycle
7,1,6,10000000,OK,Cycle
7,1,7,10000000,OK,Cycle
7,1,8,10000000,OK,Cycle
7,1,9,10000000,OK,Cycle
7,1,10,10000000,OK,Cycle
7,1,11,10000000,OK,Cycle
7,1,12,10000000,OK,Cycle
7,1,13,10000000,OK,Cycle
7,2,0,7449,FAILED,divergence_threshold
7,2,1,2231,FAILED,divergence_threshold
7,2,2,34926,FAILED,divergence_threshold
