# n=1000000000000000000,k=7,i_requested=2,i_effective=2,j=8,reason=cycle
# count_total=2159,count_divisible=1153,count_non_zero=1006
# count_divisible_k2_or_more=147,gamma=0.12749349522983522
# mean_non_zero=3.481113320079523,var_non_zero=2.8699216233414706,std_non_zero=1.694084302312453,skew_non_zero=0.04474332502922145
# shannon_entropy_non_zero=2.582764715641138,Hmax=2.584962500721156,ratio=0.9991497806720968,delta=0.002197785080018111
# cycle_start=1998 cycle_length=161
step,value,remainder,is_divisible_by_k,k_adic_valuation
0,1000000000000000000,1,0,0
1,9000000000000000054,0,1,1
2,1285714285714285722,1,0,0
3,11571428571428571552,0,1,1
4,1653061224489795936,4,0,0
5,14877551020408163640,0,1,1
6,2125364431486880520,6,0,0
7,19128279883381925004,0,1,1
8,2732611411911703572,5,0,0
9,24593502707205332418,0,1,1
10,3513357529600761774,1,0,0
11,31620217766406856020,0,1,1
12,4517173966629550860,4,0,0
13,40654565699665957956,0,1,1
14,5807795099952279708,1,0,0
15,52270155899570517426,0,1,1
16,7467165128510073918,1,0,0
17,67204486156590665316,0,1,1
18,9600640879512952188,3,0,0
19,86405767915616569854,0,1,2
20,12343681130802367122,0,1,1
21,1763383018686052446,4,0,0
22,15870447168174472230,0,1,1
23,2267206738310638890,3,0,0
24,20404860644795750172,0,1,2
25,2914980092113678596,0,1,1
26,416425727444811228,4,0,0
27,3747831547003301268,0,1,1
28,535404506714757324,1,0,0
29,4818640560432815970,0,1,1
30,688377222918973710,3,0,0
31,6195395006270763552,0,1,1
32,885056429467251936,6,0,0
33,7965507865205267748,0,1,1
34,1137929695029323964,5,0,0
35,10241367255263915946,0,1,1
36,1463052465037702278,5,0,0
37,13167472185339320772,0,1,1
38,1881067455048474396,4,0,0
39,16929607095436269780,0,1,1
40,2418515299348038540,6,0,0
41,21766637694132347184,0,1,1
42,3109519670590335312,2,0,0
43,27985677035313017916,0,1,2
44,3997953862187573988,0,1,1
45,571136266026796284,3,0,0
46,5140226394241166718,0,1,1
47,734318056320166674,6,0,0
48,6608862506881500390,0,1,1
49,944123215268785770,1,0,0
50,8497108937419071984,0,1,1
51,1213872705345581712,4,0,0
52,10924854348110235624,0,1,2
53,1560693478301462232,0,1,1
54,222956211185923176,3,0,0
55,2006605900673308746,0,1,1
56,286657985810472678,3,0,0
57,2579921872294254264,0,1,1
58,368560267470607752,1,0,0
59,3317042407235469822,0,1,1
60,473863201033638546,4,0,0
61,4264768809302747130,0,1,1
62,609252687043249590,5,0,0
63,5483274183389246580,0,1,1
64,783324883341320940,4,0,0
65,7049923950071888676,0,1,1
66,1007131992867412668,4,0,0
67,9064187935806714228,0,1,1
68,1294883990829530604,6,0,0
69,11653955917465775760,0,1,1
70,1664850845352253680,2,0,0
71,14983657608170283228,0,1,2
72,2140522515452897604,0,1,1
73,305788930778985372,5,0,0
74,2752100377010868618,0,1,1
75,393157196715838374,1,0,0
76,3538414770442545420,0,1,1
77,505487824348935060,3,0,0
78,4549390419140415702,0,1,1
79,649912917020059386,1,0,0
80,5849216253180534528,0,1,1
81,835602321882933504,4,0,0
82,7520420896946401752,0,1,1
83,1074345842420914536,4,0,0
84,9669112581788231040,0,1,1
85,1381301797398318720,1,0,0
86,12431716176584868534,0,1,1
87,1775959453797838362,4,0,0
88,15983635084180545474,0,1,1
89,2283376440597220782,2,0,0
90,20550387965374987146,0,1,1
91,2935769709339283878,5,0,0
92,26421927384053555172,0,1,1
93,3774561054864793596,4,0,0
94,33971049493783142580,0,1,1
95,4853007070540448940,1,0,0
96,43677063634864040514,0,1,1
97,6239580519266291502,4,0,0
98,56156224673396623734,0,1,1
99,8022317810485231962,2,0,0
100,72200860294367087766,0,1,1
101,10314408613481012538,1,0,0
102,92829677521329112896,0,1,3
103,13261382503047016128,0,1,2
104,1894483214721002304,0,1,1
105,270640459245857472,2,0,0
106,2435764133212717356,0,1,1
107,347966304744673908,6,0,0
108,3131696742702065496,0,1,1
109,447385248957437928,4,0,0
110,4026467240616941568,0,1,1
111,575209605802420224,6,0,0
112,5176886452221782340,0,1,1
113,739555207460254620,1,0,0
114,6655996867142291634,0,1,1
115,950856695306041662,5,0,0
116,8557710257754375228,0,1,1
117,1222530036822053604,1,0,0
118,11002770331398482490,0,1,1
119,1571824333056926070,3,0,0
120,14146418997512334792,0,1,1
121,2020916999644619256,5,0,0
122,18188252996801573574,0,1,1
123,2598321856685939082,6,0,0
124,23384896710173452062,0,1,2
125,3340699530024778866,0,1,1
126,477242790003539838,5,0,0
127,4295185110031858812,0,1,1
128,613597872861694116,4,0,0
129,5522380855755247260,0,1,1
130,788911550822178180,5,0,0
131,7100203957399603890,0,1,1
132,1014314851057086270,6,0,0
133,9128833659513776754,0,1,1
134,1304119094216253822,3,0,0
135,11737071847946284560,0,1,1
136,1676724549706612080,3,0,0
137,15090520947359508882,0,1,1
138,2155788706765644126,1,0,0
139,19402098360890797188,0,1,1
140,2771728337270113884,5,0,0
141,24945555035431025226,0,1,1
142,3563650719347289318,6,0,0
143,32072856474125604186,0,1,1
144,4581836639160800598,5,0,0
145,41236529752447205652,0,1,1
146,5890932821778172236,5,0,0
147,53018395396003550394,0,1,2
148,7574056485143364342,0,1,1
149,1082008069306194906,1,0,0
150,9738072623755754208,0,1,2
151,1391153231965107744,0,1,1
152,198736175995015392,6,0,0
153,1788625583955138852,0,1,1
154,255517940565019836,4,0,0
155,2299661465085178740,0,1,1
156,328523066440739820,6,0,0
157,2956707597966658704,0,1,1
158,422386799709522672,3,0,0
159,3801481197385704210,0,1,1
160,543068742483672030,3,0,0
161,4887618682353048432,0,1,1
162,698231240336149776,4,0,0
163,6284081163025348200,0,1,1
164,897725880432192600,5,0,0
165,8079532923889733670,0,1,2
166,1154218989127104810,0,1,1
167,164888427018157830,1,0,0
168,1483995843163420524,0,1,1
169,211999406166202932,4,0,0
170,1907994655495826604,0,1,1
171,272570665070832372,6,0,0
