k,i,j,cycle_size
2,1,1,3
2,1,2,3
2,1,5,3
5,1,1,9
5,1,2,9
5,1,5,9
5,1,11,9
5,1,13,9
7,1,20,349
11,1,3,21
11,1,5,21
11,1,22,73
11,1,25,383
13,1,5,25
13,1,30,422
17,1,1,33
17,1,17,33
17,1,50,346
19,1,6,552
19,1,27,37
19,1,30,1196
19,1,33,98
19,1,36,295
19,1,56,358
23,1,6,372
23,1,21,1351
23,1,40,1241
23,1,63,884
23,1,64,1595
29,1,5,57
29,1,7,555
29,1,14,57
29,1,18,1704
29,1,26,308
29,1,45,264
29,1,51,938
29,1,53,57
29,1,62,1229
29,1,69,57
29,1,70,135
29,1,82,1254
31,1,20,869
31,1,59,1427
31,1,74,2518
31,1,90,4352
37,1,41,1291
37,1,59,550
37,1,89,1185
41,1,2,81
41,1,8,1276
41,1,25,81
41,1,35,930
41,1,48,1670
41,1,53,140
41,1,69,588
41,1,80,12184
41,1,83,81
41,1,115,8891
41,1,122,709
43,1,3,85
43,1,20,2159
43,1,26,4238
43,1,39,2897
43,1,51,879
43,1,60,3494
43,1,65,149
43,1,98,1577
43,1,108,2657
43,1,119,1900
47,1,6,1244
47,1,9,699
47,1,16,383
47,1,27,1232
47,1,34,2237
47,1,61,1860
47,1,67,2655
47,1,85,2066
47,1,90,1132
